Date,Daily Mean Air Temperature,Rainfall (24 hour total),Daily Mean Pressure (hPa),Daily Mean Wind Speed,Daily Mean Windspeed (Beaufort conversion)
01/05/1987,23.8,0.0,1016,6.4,Light
02/05/1987,23.4,0.0,1015,5.6,Light
03/05/1987,21.7,0.0,1016,4.7,Light
04/05/1987,24.4,0.0,1017,3.3,Light
05/05/1987,21.1,0.0,1018,8.1,Light
06/05/1987,20.1,0.0,1020,9.3,Light
07/05/1987,19.5,0.0,1018,3.8,Light
08/05/1987,21.9,3.3,1015,3.6,Light
09/05/1987,22.9,0.0,1019,11.4,Moderate
10/05/1987,19.8,0.0,1021,6.3,Light
11/05/1987,21.0,0.0,1020,5.6,Light
12/05/1987,23.4,0.0,1018,5.8,Light
13/05/1987,23.1,12.0,1018,6.9,Light
14/05/1987,22.7,0.0,1020,5.6,Light
15/05/1987,23.2,7.0,1018,6.5,Light
16/05/1987,23.1,0.0,1018,4.9,Light
17/05/1987,23.4,0.0,1020,5.4,Light
18/05/1987,23.9,0.0,1019,5.5,Light
19/05/1987,24.2,0.0,1018,4.7,Light
20/05/1987,23.7,0.0,1017,2.6,Light
21/05/1987,25.8,0.0,1018,4.6,Light
22/05/1987,24.1,0.0,1021,6.6,Light
23/05/1987,22.8,0.0,1021,4.3,Light
24/05/1987,23.2,0.0,1021,4.7,Light
25/05/1987,23.5,0.0,1020,4.1,Light
26/05/1987,22.2,0.0,1021,5.6,Light
27/05/1987,22.7,0.0,1022,5.8,Light
28/05/1987,24.3,0.0,1022,6.1,Light
29/05/1987,24.3,0.5,1021,7.8,Light
30/05/1987,24.0,0.0,1020,7.1,Light
31/05/1987,23.7,0.0,1019,5.6,Light
01/06/1987,25.6,0.0,1019,3.0,Light
02/06/1987,27.3,0.0,1019,4.5,Light
03/06/1987,27.9,0.0,1019,5.5,Light
04/06/1987,27.2,0.0,1018,4.4,Light
05/06/1987,25.7,0.0,1018,17.1,Fresh
06/06/1987,24.9,0.5,1020,5.3,Light
07/06/1987,23.6,0.0,1023,6.8,Light
08/06/1987,22.9,0.0,1024,5.1,Light
09/06/1987,23.8,0.0,1022,5.9,Light
